Strain,Stress
0,0
0.004984,0.268206
0.009116,0.651649
0.010524,0.873592
0.011325,1.12576
0.012008,1.9326
0.014908,6.203774
0.016234,9.062959
0.017859,12.07343
0.023094,19.29965
0.023685,19.79385
0.02428,20.16199
0.025586,20.41418
0.027095,20.621
0.029114,20.71187
0.031236,20.72206
0.032957,20.6213
0.03438,20.35412
0.03693,19.62308
0.04346,17.61144
0.045811,16.7745
0.047953,16.12916
0.050904,15.48891
0.054665,14.77811
0.058828,14.16817
0.065525,13.29111
0.070899,12.73671
0.07779,12.14204
0.082752,11.8347
0.088118,11.53242
0.093078,11.29063
0.099959,10.98843
0.107143,10.73162
0.11645,10.43963
0.123936,10.23327
0.13587,9.951493
0.145882,9.770471
0.158521,9.574456
0.181371,9.283152
0.199772,9.082387
0.220294,8.911986
0.241926,8.787024
0.275284,8.607191
0.311873,8.508203
0.365644,8.415132
0.409914,8.321577
0.477835,8.219142
