Strain,Stress
4.68E-05,3.45E-02
1.14E-03,4.07E-01
2.92E-03,2.17E+00
4.80E-03,4.98E+00
5.37E-03,5.38E+00
5.56E-03,5.41E+00
5.82E-03,5.33E+00
6.71E-03,4.28E+00
7.07E-03,3.95E+00
7.74E-03,3.69E+00
7.97E-03,3.68E+00
8.29E-03,3.70E+00
8.78E-03,3.51E+00
9.66E-03,2.84E+00
9.92E-03,2.63E+00
1.06E-02,2.44E+00
1.12E-02,2.43E+00
1.20E-02,2.47E+00
1.31E-02,2.45E+00
1.37E-02,2.51E+00
1.44E-02,2.66E+00
1.50E-02,2.70E+00
1.54E-02,2.67E+00
1.71E-02,2.24E+00
1.75E-02,2.20E+00
1.85E-02,2.16E+00
1.90E-02,2.11E+00
2.06E-02,1.82E+00
2.13E-02,1.76E+00
2.21E-02,1.64E+00
2.35E-02,1.23E+00
2.40E-02,1.15E+00
2.51E-02,1.07E+00
2.62E-02,8.83E-01
2.70E-02,7.86E-01
2.80E-02,7.46E-01
2.87E-02,4.87E-01
2.98E-02,1.01E-02
